,Date_Released,Publisher,Superhero_Name,Movie_Title,Rating,IMDB_Votes,Box_Office_Sales,Gender,Eye color,Race,Hair color,Height,Skin color,Alignment,Weight,rate,Inflation_Sales
0,2008,DC,Batman,The Dark Knight,90.0,"2,029,721",533316061,Male,blue,Human,black,188,-,good,18.5,17.4,626113055.614
1,2008,DC,Punisher,Punisher: War Zone,60.0,"56,730",7948159,Male,blue,Human,Black,183,-,good,9.5,17.4,9331138.666
2,2008,Marvel,Iron Man,Iron Man,79.0,"842,429",318298180,Male,blue,Human,Black,198,-,good,38.5,17.4,373682063.32
3,2008,Marvel,Hulk,The Incredible Hulk,68.0,"388,957",134518390,Male,green,Human,Green,244,green,good,29.5,17.4,157924589.85999998
4,2009,Marvel,Wolverine,X-Men Origins: Wolverine,66.0,"431,892",179737340,Male,blue,Human,Black,160,-,good,31.5,17.8,211730586.51999998
5,2010,Marvel,Iron Man,Iron Man 2,70.0,"642,092",312057433,Male,blue,Human,Black,198,-,good,38.5,15.9,361674564.847
6,2011,Marvel,Ghost Rider,Spirit of Vengeance,43.0,"102,335",51774002,Male,red,Human,No Hair,188,-,good,36.0,12.4,58193978.248
7,2011,DC,Green Lantern,Green Lantern,55.0,"250,387",116600000,Male,brown,Human,Brown,188,-,good,37.0,12.4,131058400.00000001
8,2011,Marvel,Thor,Thor,70.0,"661,810",181015141,Male,blue,Non-Human,Blond,198,-,good,83.5,12.4,203461018.48400003
9,2011,Marvel,Captain America,Captain America: The First Avenger,69.0,"641,472",176636816,Male,blue,Human,blond,188,-,good,10.5,12.4,198539781.18400002
10,2012,DC,Batman,The Dark Knight Rises,84.0,"1,366,558",448130642,Male,blue,Human,black,188,-,good,18.5,10.1,493391836.842
11,2012,Marvel,Spider-Man,The Amazing Spider-Man,70.0,"520,000",262030663,Male,hazel,Human,Brown,178,-,good,22.5,10.1,288495759.963
12,2013,Marvel,Iron Man,Iron Man 3,72.0,"672,550",408992272,Male,blue,Human,Black,198,-,good,38.5,8.5,443756615.12
13,2013,Marvel,Thor,Thor: The Dark World,70.0,"526,911",206360018,Male,blue,Non-Human,Blond,198,-,good,83.5,8.5,223900619.53
14,2013,Marvel,Wolverine,The Wolverine,67.0,"395,575",132550960,Male,blue,Human,Black,160,-,good,31.5,8.5,143817791.6
15,2014,DC,Superman,Man of Steel,71.0,"639,837",291021565,Male,blue,Non-Human,Black,191,-,good,35.5,6.8,310811031.42
16,2014,Marvel,Spider-Man,The Amazing Spider-Man 2,66.0,"383,964",183277573,Male,hazel,Human,Brown,178,-,good,22.5,6.8,195740447.96400002
17,2014,Marvel,Captain America,Captain America: The Winter Soldier,78.0,"646,011",228636083,Male,blue,Human,blond,188,-,good,10.5,6.8,244183336.64400002
18,2015,Marvel,Ant-Man,Ant-Man,73.0,"482,910",138002223,Male,blue,Human,Blond,211,-,good,12.0,6.6,147110369.718
19,2016,Marvel,Deadpool,Deadpool,80.0,"802,733",328674489,Male,brown,Human,No Hair,188,-,neutral,70.5,5.3,346094236.917
20,2016,Marvel,Doctor Strange,Doctor Strange,75.0,"485,846",232630718,Male,grey,Human,Black,188,-,good,83.0,5.3,244960146.054
21,2016,Marvel,Wolverine,Logan,81.0,"545,270",226276809,Male,blue,Human,Black,160,-,good,31.5,5.3,238269479.87699997
22,2017,Marvel,Spider-Man,Spider-Man: Homecoming,75.0,"398,278",334166825,Male,hazel,Human,Brown,178,-,good,22.5,3.1,344525996.575
23,2017,DC,Wonder Woman,Wonder Woman,75.0,"472,212",412400625,Female,blue,Human,Black,183,-,good,40.5,3.1,425185044.37499994
24,2018,Marvel,Thor,Thor: Ragnarok,79.0,"439,344",314971245,Male,blue,Non-Human,Blond,198,-,good,83.5,0.7,317176043.715
25,2018,Marvel,Black Panther,Black Panther,73.0,"486,841",501105037,Male,brown,Human,Black,183,-,good,16.0,0.7,504612772.25899994
26,2018,Marvel,Ant-Man,Ant-Man and the Wasp,71.0,"204,018",216648740,Male,blue,Human,Blond,211,-,good,12.0,0.7,218165281.17999998
27,2018,DC,Aquaman,Aquaman,72.0,"208,461",335061807,Male,blue,Non-Human,Blond,185,-,good,36.5,0.7,337407239.649
28,2018,Marvel,Deadpool,Deadpool 2,78.0,"359,880",324591735,Male,brown,Human,No Hair,188,-,neutral,70.5,0.7,326863877.145
29,2018,Marvel,Venom,Venom,68.0,"245,745",213515506,Male,blue,Non-Human,Strawberry Blond,191,-,bad,20.0,0.7,215010114.54199997
30,2019,Marvel,Captain Marvel,Captain Marvel,69.0,"80,858",373880366,Female,blue,Human,Blond,180,-,good,88.0,0.0,373880366.0
